Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Brazil,2021-01-02 05:22:33,-12.5797,-41.7007,494684,9159,478198,7327,3326.039610936926,1.851484988396633
Brazil,2021-01-02 05:22:33,-5.4984,-39.3206,336504,10004,269846,56153,3679.25022103403,2.9741779566180147
Brazil,2021-01-02 05:22:33,-15.7998,-47.8645,252077,4263,241952,5862,8360.019739538906,1.6911499264113743
Brazil,2021-01-02 05:22:33,-19.1834,-40.3089,249271,5093,227931,16242,6202.580468565314,2.040840889031533
Brazil,2021-01-02 05:22:33,-15.827,-49.8362,309191,6805,298401,3906,4404.33754125255,2.201467429281296
Brazil,2021-01-02 05:22:33,-4.9609,-45.2744,200959,4506,190884,5569,2840.337229535188,2.242248418831702
Brazil,2021-01-02 05:22:33,-12.6819,-56.9211,180659,4530,170171,5066,5157.289524420672,2.4857543516004097
Brazil,2021-01-02 05:22:33,-20.7722,-54.7852,135361,2360,117816,14587,4848.890926402652,1.741743970315399
Brazil,2021-01-02 05:22:33,-18.5122,-44.555,546884,12001,494278,40605,2583.4446568063336,2.1944324573401306
Brazil,2021-01-02 05:22:33,-1.9981,-54.9306,293807,7209,275483,11120,3415.1645992352546,2.450289650853296
Brazil,2021-01-02 05:22:33,-7.24,-36.782,167062,3680,127030,36352,4157.708305387062,2.202775017658115
Brazil,2021-01-02 05:22:33,-25.2521,-52.0215,418323,7993,305194,105136,3658.602179455459,1.9107244880152416
Brazil,2021-01-02 05:22:33,-8.8137,-36.9541,222993,9666,189850,23477,2333.2776328647133,4.33466521370626
Brazil,2021-01-02 05:22:33,-7.7183,-42.7289,143210,2848,139971,368,4374.245965831273,1.9835311044217376
Brazil,2021-01-02 05:22:33,-5.4026,-36.9541,119338,3009,68394,46966,3374.906219336824,2.528875482666261
Brazil,2021-01-02 05:22:33,-30.0346,-51.2177,451912,8917,424406,18589,3972.070904021617,1.973171767954823
Brazil,2021-01-02 05:22:33,-22.9068,-43.1729,435390,25600,397324,12466,2521.8154499554385,5.879785939043157
Brazil,2021-01-02 05:22:33,-11.5057,-63.5806,95999,1822,81122,13055,5401.623317250207,1.897936436837884
Brazil,2021-01-02 05:22:33,-2.7376,-62.0751,68858,787,65405,2518,11342.757292067334,1.1453936835977296
Brazil,2021-01-02 05:22:33,-27.2423,-50.2189,494447,5270,467020,22157,6901.0695082673765,1.0658371878077937
Brazil,2021-01-02 05:22:33,-23.5505,-46.6333,1466191,46775,1287986,131430,3192.990778184452,3.190239198030816
Brazil,2021-01-02 05:22:33,-10.5741,-37.3857,113544,2492,99824,11228,4939.496131719897,2.19474388783203
Brazil,2021-01-02 05:22:33,-10.1753,-48.2982,90592,1239,80658,8642,5756.116541396406,1.3652027922594328
Brunei,2021-01-02 05:22:33,4.5353,114.7277,157,3,149,5,35.88710875622596,1.910828025477707
Bulgaria,2021-01-02 05:22:33,42.7339,25.4858,202540,7604,120343,74593,2914.896786259372,3.75432013429446
Burkina Faso,2021-01-02 05:22:33,12.2383,-1.5616,6828,85,5152,1591,32.66473325379876,1.244874048037493
Burma,2021-01-02 05:22:33,21.9162,95.956,125042,2697,107777,14568,229.8152424543273,2.156875289902593
Burundi,2021-01-02 05:22:33,-3.3731,29.9189,822,2,687,133,6.912918503839235,0.24330900243309
Cabo Verde,2021-01-02 05:22:33,16.5388,-23.0418,11872,113,11569,190,2135.2978841269955,0.9518194070080862
Cambodia,2021-01-02 05:22:33,11.55,104.9167,379,0,362,17,2.26688592258459,0.0
Cameroon,2021-01-02 05:22:33,3.848,11.5021,26848,448,24892,1508,101.13816600582298,1.66865315852205
Canada,2021-01-02 05:22:33,53.9333,-116.5765,100428,1046,84827,14555,2260.4261786107613,1.0415421993866252
Canada,2021-01-02 05:22:33,53.7267,-127.6476,51990,901,42127,8962,996.9692059434628,1.733025581842662
Canada,2020-12-21 13:27:30,35.768908300181025,-71.11371388385798,0,1,0,0,5738.940929020448,2.2286991482179874
Canada,2020-12-21 13:27:30,35.768908300181025,-71.11371388385798,13,0,13,0,5738.940929020448,0.0
Canada,2021-01-02 05:22:33,53.7609,-98.8139,24700,667,19528,4505,1784.9851672791262,2.700404858299595
Canada,2021-01-02 05:22:33,46.5653,-66.4619,601,9,567,25,76.15065412271532,1.497504159733777
Canada,2021-01-02 05:22:33,53.1355,-57.6604,390,4,366,20,74.92032511579032,1.0256410256410255
Canada,2021-01-02 05:22:33,64.8255,-124.8457,24,0,24,0,52.74261603375528,0.0
Canada,2021-01-02 05:22:33,44.682,-63.7443,1497,65,1399,22,149.79008220310365,4.374158815612383
Canada,2021-01-02 05:22:33,70.2998,-83.1076,266,1,262,3,675.0755018653402,0.3759398496240601
Canada,2021-01-02 05:22:33,51.2538,-85.3232,192482,4581,162622,20154,1263.5944454291823,2.438295328379879
Canada,2021-01-02 05:22:33,46.5107,-63.4168,94,0,89,5,57.20614905244708,0.0
Canada,2021-01-02 05:22:33,52.9399,-73.5491,208390,8388,170045,29957,2421.8736834642823,4.02514516051634
Canada,2021-01-02 05:22:33,35.768908300181025,-71.11371388385798,13,0,13,0,5738.940929020448,0.0
Canada,2021-01-02 05:22:33,52.9399,-106.4509,15634,155,12496,2699,1301.0194568095444,1.009771986970684
Canada,2021-01-02 05:22:33,64.2823,-135.0,60,1,59,0,139.58032847903968,1.6666666666666667
Central African Republic,2021-01-02 05:22:33,6.6111,20.9394,4963,63,1924,2976,102.7586441076624,1.2693935119887163
Chad,2021-01-02 05:22:33,15.4542,18.7322,2141,104,1704,333,13.034325936926647,4.857543204110229
Chile,2021-01-02 05:22:33,-23.6509,-70.3975,23887,585,22670,632,3931.796409748261,2.4490308536023777
Chile,2021-01-02 05:22:33,-38.9489,-72.3311,23161,311,21736,1114,2419.6008457790444,1.3427744916022624
Chile,2021-01-02 05:22:33,-18.594,-69.4785,10859,225,10408,226,4803.421979227489,2.072013997605673
Chile,2021-01-02 05:22:33,-27.5661,-70.0503,8520,113,8328,79,2948.668254056149,1.3262910798122065
Chile,2021-01-02 05:22:33,-45.9864,-73.7669,1588,15,1436,137,1539.386184299812,0.9445843828715366
Chile,2021-01-02 05:22:33,-37.4464,-72.1416,47898,802,44427,2669,3076.685904785764,1.6743914150904005
Chile,2021-01-02 05:22:33,-29.959,-71.3389,14308,299,13731,278,1888.630465716104,2.0897400055912776
Chile,2021-01-02 05:22:33,-41.9198,-72.1416,26170,263,24352,1555,3157.927762251601,1.0049675200611388
Chile,2021-01-02 05:22:33,-40.231,-72.3311,9004,93,8239,672,2339.6918695447685,1.0328742780986229
Chile,2021-01-02 05:22:33,-52.368,-70.9863,17010,233,16264,513,10214.191781809011,1.369782480893592
Chile,2021-01-02 05:22:33,-35.5183,-71.6885,25783,556,23574,1653,2467.3907842480503,2.156459682736687
Chile,2021-01-02 05:22:33,-33.4376,-70.6505,319937,10813,304802,4322,4498.040717533779,3.3797278839271483
Chile,2021-01-02 05:22:33,-36.7226,-71.7622,10821,218,9979,624,2251.518386047702,2.014601238332871
Chile,2021-01-02 05:22:33,-34.5755,-71.0022,21682,588,20563,531,2370.7704840058827,2.711926944008855
Chile,2021-01-02 05:22:33,-19.9232,-69.5132,15896,287,14924,685,4808.838388422002,1.8054856567689983
Chile,2021-01-02 05:22:33,35.768908300181025,-71.11371388385798,58,1,44,13,5738.940929020448,1.7241379310344829
Chile,2021-01-02 05:22:33,-33.0472,-71.6127,35982,1258,33726,998,1981.4945960740167,3.496192540714802
China,2021-01-02 05:22:33,31.8257,117.2264,993,6,986,1,1.6271440798066814,0.6042296072507553
China,2021-01-02 05:22:33,40.1824,116.4142,988,9,944,35,4.5128384086398015,0.9109311740890688
China,2021-01-02 05:22:33,30.0572,107.874,590,6,584,0,1.8406347831493568,1.0169491525423728
China,2021-01-02 05:22:33,26.0789,117.9874,513,1,488,24,1.2349517042405738,0.1949317738791423
China,2021-01-02 05:22:33,35.7518,104.2861,182,2,180,0,0.7274229789961411,1.098901098901099
China,2021-01-02 05:22:33,23.3417,113.4244,2046,8,2011,27,1.6236483187264503,0.3910068426197458
China,2021-01-02 05:22:33,23.8298,108.7881,264,2,261,1,0.5266643371079472,0.7575757575757576
China,2021-01-02 05:22:33,26.8154,106.8748,147,2,145,0,0.3812028313360552,1.3605442176870748
China,2021-01-02 05:22:33,19.1959,109.7453,171,6,165,0,1.696221255497344,3.508771929824561
China,2021-01-02 05:22:33,37.8957,114.9042,373,6,367,0,0.4999314102146978,1.6085790884718498
China,2021-01-02 05:22:33,47.862,127.7615,964,13,942,9,3.026679235548737,1.3485477178423235
China,2021-01-02 05:22:33,33.882,113.614,1299,22,1270,7,1.307294535441414,1.6936104695919938
China,2021-01-02 05:22:33,22.3,114.2,8888,149,7912,828,118.55427806473746,1.6651665166516652
China,2021-01-02 05:22:33,30.9756,112.2707,68149,4512,63637,0,118.00170163894217,6.620786805382324
China,2021-01-02 05:22:33,27.6104,111.7088,1021,4,1016,1,1.5366123708222204,0.3917727717923604
China,2021-01-02 05:22:33,44.0935,113.9448,364,1,340,23,1.513566692883804,0.2747252747252747
China,2021-01-02 05:22:33,32.9711,119.455,684,0,682,2,0.8070985402183338,0.0
China,2021-01-02 05:22:33,27.614,115.7221,935,1,934,0,2.0691043223589296,0.106951871657754
China,2021-01-02 05:22:33,43.6661,126.1923,157,2,155,0,0.6521706711538224,1.2738853503184713
China,2021-01-02 05:22:33,41.2956,122.6085,359,2,287,70,0.84289302769453,0.5571030640668524
China,2021-01-02 05:22:33,22.1667,113.55,46,0,46,0,7.084094360136877,0.0
China,2021-01-02 05:22:33,37.2692,106.1655,75,0,75,0,1.041282838242681,0.0
China,2021-01-02 05:22:33,35.7452,95.9956,18,0,18,0,0.3038509563793255,0.0
China,2021-01-02 05:22:33,35.1917,108.8701,508,3,490,15,1.2851324669263695,0.5905511811023622
China,2021-01-02 05:22:33,36.3427,118.1498,863,7,847,9,0.8500163990127872,0.8111239860950173
China,2021-01-02 05:22:33,31.202,121.4491,1520,7,1420,93,6.111561324994537,0.4605263157894737
China,2021-01-02 05:22:33,37.5777,112.2922,224,0,221,3,0.6415467508864802,0.0
China,2021-01-02 05:22:33,30.6171,102.7103,853,3,822,28,1.0194220089937165,0.3516998827667057
China,2021-01-02 05:22:33,39.3054,117.323,312,3,300,9,2.2501067178017844,0.9615384615384616
China,2021-01-02 05:22:33,31.6927,88.0924,1,0,1,0,0.027411529289219,0.0
China,2021-01-02 05:22:33,41.1129,85.2401,980,3,977,0,3.7907586333077328,0.3061224489795918
China,2021-01-02 05:22:33,24.974,101.487,230,2,215,13,0.487192379582513,0.8695652173913043
China,2021-01-02 05:22:33,29.1832,120.0934,1306,1,1293,12,2.02268667678898,0.0765696784073506
Colombia,2021-01-02 05:22:33,-1.4429,-71.5724,3249,125,3102,22,4242.123542545274,3.847337642351493
Colombia,2021-01-02 05:22:33,7.1986,-75.3412,263708,4817,245839,13052,4115.870170320372,1.8266415884235596
Colombia,2021-01-02 05:22:33,7.0762,-70.7105,4600,134,4300,166,1754.5599487363354,2.9130434782608696
Colombia,2021-01-02 05:22:33,10.6966,-74.8741,94549,3443,87898,3208,3728.983083134524,3.641498059207395
Colombia,2021-01-02 05:22:33,8.6704,-74.03,52000,1107,49335,1558,2511.94380974924,2.128846153846154
Colombia,2021-01-02 05:22:33,5.4545,-73.362,28803,620,26406,1777,2365.99045816576,2.1525535534492937
Colombia,2021-01-02 05:22:33,5.2983,-75.2479,32668,644,30213,1811,3272.510530876379,1.97134810824048
Colombia,2021-01-02 05:22:33,4.711,-74.0721,475253,9868,430079,35306,6411.450501756072,2.076367745179936
Colombia,2021-01-02 05:22:33,0.8699,-73.8419,15042,533,13707,802,3746.5534547646384,3.543411780348358
Colombia,2021-01-02 05:22:33,5.7589,-71.5724,8825,182,8169,474,2098.672069706828,2.0623229461756374
Colombia,2021-01-02 05:22:33,2.705,-76.82600000000002,18844,505,16984,1355,1286.7295600919913,2.6798981108045
Colombia,2021-01-02 05:22:33,9.3373,-73.6536,33637,996,30947,1694,2801.743166185508,2.961025061688022
Colombia,2021-01-02 05:22:33,5.2528,-76.82600000000002,4888,169,4613,106,913.9421045349328,3.4574468085106385
Colombia,2021-01-02 05:22:33,8.0493,-75.574,29590,1679,27564,347,1657.9046304228582,5.674214261574856
Colombia,2021-01-02 05:22:33,5.026,-74.03,67608,1726,62249,3633,2316.0880557439723,2.5529523133357
Colombia,2021-01-02 05:22:33,2.5854,-68.5247,1235,20,1204,11,2566.820468055036,1.6194331983805668
Colombia,2021-01-02 05:22:33,1.0654,-73.2603,1964,37,1907,20,2372.9264078678702,1.8839103869653768
Colombia,2021-01-02 05:22:33,2.5359,-75.5277,35109,1130,32925,1054,3190.6076594940323,3.21854795066792
Colombia,2021-01-02 05:22:33,11.3548,-72.5205,14217,545,13119,553,1614.5407467974926,3.833438840824365
Colombia,2021-01-02 05:22:33,10.4113,-74.4057,24836,1075,22950,811,1851.0209831070856,4.328394266387502
Colombia,2021-01-02 05:22:33,3.272,-73.0877,34072,745,32218,1109,3277.029821433037,2.186546137590984
Colombia,2021-01-02 05:22:33,1.2892,-77.3579,31603,987,28571,2045,1938.1304458748723,3.123121222668734
Colombia,2021-01-02 05:22:33,7.9463,-72.8988,40621,2022,36640,1959,2723.1547594706403,4.9777208832869695
Colombia,2021-01-02 05:22:33,0.436,-75.5277,5929,245,5349,335,1702.8450637884785,4.132231404958677
Colombia,2021-01-02 05:22:33,4.461,-75.6674,23916,659,21856,1401,4429.676386913229,2.7554775045994315
Colombia,2021-01-02 05:22:33,5.3158,-75.9928,34605,760,31061,2784,3668.111439356117,2.19621441988152
Colombia,2021-01-02 05:22:33,12.5567,-81.7185,2471,39,2391,41,4032.310704960836,1.5783083771752326
Colombia,2021-01-02 05:22:33,6.6437,-73.6536,67850,2405,61143,4302,3105.4948263875062,3.5445836403831983
Colombia,2021-01-02 05:22:33,8.814,-74.7233,17477,679,16392,406,1931.45260663769,3.8851061394976254
Colombia,2021-01-02 05:22:33,4.0925,-75.1545,44552,1276,41274,2002,3349.3035189789107,2.864068953133417
Colombia,2021-01-02 05:22:33,35.768908300181025,-71.11371388385798,0,0,0,0,5738.940929020448,2.2286991482179874
Colombia,2021-01-02 05:22:33,3.8009,-76.6413,138870,4297,127897,6676,3102.6259381941363,3.0942608194714483
Colombia,2021-01-02 05:22:33,0.8554,-70.812,1139,12,1120,7,2791.871951368973,1.0535557506584723
Colombia,2021-01-02 05:22:33,4.4234,-69.2878,1150,14,1126,10,1066.7111902641734,1.2173913043478262
Comoros,2021-01-02 05:22:33,-11.6455,43.3333,823,10,705,108,94.6417585197707,1.2150668286755772
Congo (Brazzaville),2021-01-02 05:22:33,-0.228,15.8277,7107,108,5846,1153,128.79451810517114,1.5196285352469396
Congo (Kinshasa),2021-01-02 05:22:33,-4.0383,21.7587,17849,591,14701,2557,19.92934367129841,3.311109866098941
Costa Rica,2021-01-02 05:22:33,9.7489,-83.7534,169321,2185,131923,35213,3323.855728395556,1.2904483200548071
Cote d'Ivoire,2021-01-02 05:22:33,7.54,-5.5471,22563,138,21981,444,85.5362983364151,0.6116207951070336
Croatia,2021-01-02 05:22:33,45.1,15.2,212007,3961,199820,8226,5164.266985736376,1.8683345361238075
Cuba,2021-01-02 05:22:33,21.521757,-77.78116700000002,12056,146,10345,1565,106.4395579403416,1.2110152621101526
Cyprus,2021-01-02 05:22:33,35.1264,33.4299,23108,126,2057,20925,1913.9263236099227,0.5452657088454215
Czechia,2021-01-02 05:22:33,49.8175,15.473,732022,11711,600073,120238,6835.5890410498405,1.5998153060973577
Denmark,2021-01-02 05:22:33,61.8926,-6.9118,610,0,551,59,1248.337255704492,0.0
Denmark,2021-01-02 05:22:33,71.7069,-42.6043,27,0,21,6,47.55865567533291,0.0
Denmark,2021-01-02 05:22:33,56.2639,9.5018,165930,1322,130818,33790,2842.62369730212,0.7967215090700898
Diamond Princess,2021-01-02 05:22:33,35.768908300181025,-71.11371388385798,712,13,699,0,5738.940929020448,1.8258426966292132
Djibouti,2021-01-02 05:22:33,11.8251,42.5903,5840,61,5735,44,591.091920866557,1.0445205479452055
Dominica,2021-01-02 05:22:33,15.415,-61.371,88,0,83,5,122.23750190996095,0.0
Dominican Republic,2021-01-02 05:22:33,18.7357,-70.1627,172218,2416,131543,38259,1587.5693590208764,1.4028731026954209
Ecuador,2021-01-02 05:22:33,-1.8312,-78.1834,213378,14051,184507,14820,1209.416053677763,6.585027509865122
Egypt,2021-01-02 05:22:33,26.820553000000004,30.802498,139471,7687,112826,18958,136.28945487667525,5.511540033411964
El Salvador,2021-01-02 05:22:33,13.7942,-88.8965,46515,1327,45960,0,717.1378130279959,2.852843168870257
Equatorial Guinea,2021-01-02 05:22:33,1.6508,10.2679,5277,86,5136,55,376.1266157514157,1.6297138525677468
Eritrea,2021-01-02 05:22:33,15.1794,39.7823,1320,3,643,674,37.22056029914052,0.2272727272727272
Estonia,2021-01-02 05:22:33,58.5953,25.0136,28406,234,19027,9145,2141.361844619721,0.8237696261353236
Eswatini,2021-01-02 05:22:33,-26.5225,31.4659,9482,216,7073,2193,817.2982440413597,2.27800042185193
Ethiopia,2021-01-02 05:22:33,9.145,40.4897,124652,1937,112251,10464,108.4273791292674,1.5539261303468856
Fiji,2021-01-02 05:22:33,-17.7134,178.065,49,2,44,3,5.466041381279812,4.081632653061225
Finland,2021-01-02 05:22:33,61.92411,25.748151,36676,598,29000,6842,657.0087125892348,1.5410817789742604
France,2021-01-02 05:22:33,4.0,-53.0,13166,71,9995,3100,4408.032623325142,0.5392678110284065
France,2021-01-02 05:22:33,-17.6797,-149.4068,16926,114,4842,11970,6025.546094039245,0.673520028358738
France,2021-01-02 05:22:33,16.265,-61.551,8620,155,2242,6223,2154.316004668518,1.7981438515081207
France,2021-01-02 05:22:33,14.6415,-61.0242,6091,43,98,5950,1623.1196621054455,0.7059596125430964
France,2021-01-02 05:22:33,-12.8275,45.166244,5890,55,2964,2871,2158.988024764216,0.933786078098472
France,2021-01-02 05:22:33,-20.904305,165.618042,38,0,38,0,13.310402079224914,0.0
France,2021-01-02 05:22:33,-21.1151,55.5364,9037,42,8706,289,1009.3733106372332,0.4647560030983733
France,2021-01-02 05:22:33,17.9,-62.8333,190,0,172,18,1922.1041982802224,0.0
France,2021-01-02 05:22:33,46.8852,-56.3159,16,0,14,2,276.10008628127696,0.0
France,2021-01-02 05:22:33,18.0708,-63.0501,995,12,855,128,2573.786181742932,1.2060301507537687
France,2021-01-02 05:22:33,46.2276,2.2137,2636045,64399,170896,2400750,4039.9254293991175,2.443015957618326
Gabon,2021-01-02 05:22:33,-0.8037,11.6094,9571,64,9388,119,430.01660580268566,0.6686866576115349
Gambia,2021-01-02 05:22:33,13.4432,-15.3101,3800,124,3669,7,157.24155281826518,3.263157894736842
Georgia,2021-01-02 05:22:33,42.3154,43.3569,228410,2528,214992,10890,5725.74529821329,1.1067816645505888
Germany,2021-01-02 05:22:33,48.6616,9.3501,237993,4789,190409,47441,2186.283526056776,2.0161157433345416
Germany,2021-01-02 05:22:33,48.7904,11.4979,324937,6716,264172,59871,2517.894918206238,2.059204004158909
Germany,2021-01-02 05:22:33,52.52,13.405,96788,1247,78947,17428,2665.110663281013,1.3077049113177406
Germany,2021-01-02 05:22:33,52.4125,12.5316,41241,937,32460,13048,1842.4216468048503,2.4124546994617546
Germany,2021-01-02 05:22:33,53.0793,8.8017,13559,194,12067,1440,2015.4970373310985,1.466297052815874
Germany,2021-01-02 05:22:33,53.5511,9.9937,36417,632,27236,9403,2013.3572436487773,1.7642169611496905
Germany,2021-01-02 05:22:33,50.6521,9.1624,136577,2845,109223,27227,2214.59700493584,2.093737443315539
Germany,2021-01-02 05:22:33,53.6127,12.4296,11997,171,9469,2723,767.6433813806282,1.3991103922361503
Germany,2021-01-02 05:22:33,52.6367,9.8451,106789,1967,92555,15238,1372.0382821296043,1.8368090337856295
Germany,2021-01-02 05:22:33,51.4332,7.6616,393185,6552,326307,65670,2224.074325112116,1.6808050607256984
Germany,2021-01-02 05:22:33,50.1183,7.309,71993,1428,54190,17902,1794.6311125512427,1.9836575981291893
Germany,2021-01-02 05:22:33,49.3964,7.023,19879,432,18075,1932,2080.913341687068,2.2904864231295177
Germany,2021-01-02 05:22:33,51.1045,13.2017,132356,3139,100200,33592,3379.2455941557937,2.408566385108028
Germany,2021-01-02 05:22:33,51.9503,11.6923,29200,602,23248,7120,1423.7734582360397,2.1901571759855707
Germany,2021-01-02 05:22:33,54.2194,9.6961,24792,425,19000,5811,867.3337055009233,1.7269378540024558
Germany,2021-01-02 05:22:33,51.011,10.8453,42034,995,31186,11662,2069.344134641552,2.340740740740741
Germany,2021-01-02 05:22:33,35.768908300181025,-71.11371388385798,2102,0,0,2102,5738.940929020448,0.0
Ghana,2021-01-02 05:22:33,7.9465,-1.0232,54930,335,53758,837,176.77757933790954,0.6098671035863826
Greece,2021-01-02 05:22:33,39.0742,21.8243,139447,4881,93764,40802,1337.870582293715,3.500254577007752
Grenada,2021-01-02 05:22:33,12.1165,-61.679,127,0,107,20,112.86982642931416,0.0
Guatemala,2021-01-02 05:22:33,15.7835,-90.2308,138236,4820,126606,6810,771.5971255612508,3.486790705749588
Guinea,2021-01-02 05:22:33,9.9456,-9.6966,13738,81,13153,504,104.6083726902855,0.589605473868103
Guinea-Bissau,2021-01-02 05:22:33,11.8037,-15.1804,2452,45,2397,10,124.59362255449446,1.8352365415986949
Guyana,2021-01-02 05:22:33,4.860416000000002,-58.93018000000001,6348,164,5868,316,807.0596102771693,2.58349086326402
Haiti,2021-01-02 05:22:33,18.9712,-72.2852,10015,236,8624,1155,87.83136168077742,2.3564653020469297
Holy See,2021-01-02 05:22:33,41.9029,12.4534,27,0,15,12,3337.453646477132,0.0
Honduras,2021-01-02 05:22:33,15.2,-86.2419,122974,3160,56936,62878,1241.583715377731,2.5696488688665897
Hungary,2021-01-02 05:22:33,47.1625,19.5033,325278,9667,157063,158548,3367.1450827350977,2.971919404324916
Iceland,2021-01-02 05:22:33,64.9631,-19.0208,5754,29,5578,147,1686.1538461538462,0.5039972193256865
India,2021-01-02 05:22:33,11.225999,92.968178,4946,62,4826,58,1185.9887395812352,1.253538212697129
India,2021-01-02 05:22:33,15.9129,79.74,882612,7108,871916,3588,1637.395998430006,0.8053368864234794
India,2021-01-02 05:22:33,27.768456,96.384277,16719,56,16564,99,1064.5938955387537,0.3349482624558885
India,2021-01-02 05:22:33,26.357149,92.830441,216251,1049,211910,3292,607.3265457428234,0.4850844620371697
India,2021-01-02 05:22:33,25.679658,85.60484,252219,1400,245476,5343,202.09867752645945,0.5550731705383021
